temperature,humidity,rainfall,aqi,wind_speed,vehicle_count
27.9,48.2,1.71,40.0,1.55,464.0
24.7,61.0,,81.2,14.61,614.0
16.0,60.5,8.24,221.6,1.2,131.0
27.0,56.7,1.62,149.3,16.14,803.0
25.8,64.6,4.24,196.7,,190.0
36.7,51.8,10.04,,22.69,1391.0
35.0,69.4,1.89,,4.5,248.0
31.0,58.0,4.95,62.2,22.08,397.0
39.9,,3.54,110.9,1.96,405.0
35.7,66.1,5.65,98.9,3.55,4160.0
30.4,66.3,4.14,70.7,5.39,143.0
17.6,,5.54,,3.22,2302.0
23.3,,5.46,37.8,1.43,2540.0
28.4,57.9,4.97,164.0,1.47,8464.0
21.9,53.8,4.92,73.3,3.06,204.0
33.1,92.0,2.01,76.7,1.35,
,75.5,6.26,130.3,,102.0
28.5,63.1,,31.6,10.77,111.0
,82.0,10.8,133.2,20.89,
36.1,56.5,2.94,203.3,,224.0
24.0,52.3,2.86,82.7,2.71,190.0
30.6,72.9,4.43,149.8,3.69,131.0
35.9,80.9,13.23,110.0,1.95,19529.0
32.8,60.0,2.03,49.2,1.67,109.0
22.4,89.9,15.83,171.2,11.81,166.0
,69.9,9.03,99.6,6.03,
22.7,53.3,,57.9,92.69,801.0
33.3,58.4,22.04,32.7,9.16,364.0
26.6,68.8,,127.6,3.0,705.0
23.2,76.7,3.51,192.3,,108.0
27.8,,4.74,93.4,,1350.0
31.4,54.3,0.88,160.0,2.21,398.0
27.5,46.3,3.62,99.7,,245.0
23.7,69.8,7.61,97.7,11.88,341.0
28.5,64.9,2.51,46.0,5.23,100.0
30.8,62.2,3.1,76.2,8.48,198.0
27.1,51.0,11.72,163.9,6.19,1414.0
35.1,,2.03,81.2,6.53,202.0
,66.3,,71.7,3.36,315.0
27.9,71.0,13.93,74.9,1.19,1942.0
26.9,53.4,1.48,,6.77,312.0
26.4,60.2,2.51,60.4,1.1,280.0
32.3,68.0,3.53,152.6,4.32,2974.0
20.5,89.7,1.45,37.9,1.69,879.0
29.5,59.0,8.63,118.0,1.16,1418.0
29.0,48.1,,98.6,64.23,148.0
27.2,66.4,8.01,,2.06,151.0
16.1,57.0,7.15,62.7,,1132.0
18.8,63.5,10.11,143.1,1.35,7898.0
22.5,80.4,3.04,108.4,3.61,1523.0
31.8,,2.63,27.2,3.05,1112.0
27.3,61.5,18.28,74.6,1.57,2182.0
24.2,71.4,10.45,112.9,2.55,
20.6,56.9,0.66,,25.13,977.0
20.8,80.2,,159.7,3.62,497.0
17.7,61.4,10.46,190.6,1.98,263.0
27.3,86.8,,127.7,1.35,787.0
27.1,63.9,4.45,113.9,,422.0
23.6,41.4,1.68,206.9,1.31,829.0
31.5,46.0,1.15,144.2,1.16,233.0
27.7,42.1,4.21,72.2,,614.0
24.2,60.2,12.11,45.2,3.87,110.0
20.4,69.5,1.34,29.7,1.58,263.0
27.7,66.7,10.93,68.0,4.73,1789.0
24.4,77.7,3.02,264.0,13.06,555.0
33.9,78.0,3.16,,1.49,409.0
25.6,,4.89,168.1,2.15,1095.0
18.9,60.9,15.03,176.6,3.61,473.0
28.5,74.4,3.98,66.2,9.43,291.0
23.6,60.2,1.56,163.1,10.18,1371.0
22.4,64.1,2.52,141.3,1.46,949.0
32.3,,6.97,96.8,8.19,28357.0
20.3,55.9,,128.5,207.6,4036.0
25.8,64.9,3.38,251.4,,1771.0
23.4,85.1,3.01,126.6,3.21,1567.0
24.3,72.4,18.54,95.2,,482.0
30.2,58.1,,158.9,14.83,546.0
33.7,59.5,1.24,132.6,12.98,484.0
28.6,78.2,9.57,,1.73,5128.0
31.7,75.6,,163.2,1.43,549.0
,95.4,3.3,338.2,7.77,459.0
,71.4,1.18,184.4,29.09,205.0
21.0,68.4,1.56,,1.36,806.0
33.0,58.4,4.7,42.3,1.04,713.0
28.1,,7.99,92.8,8.09,431.0
26.4,44.9,5.11,149.9,2.6,
26.3,73.2,10.44,87.6,,941.0
32.4,86.9,1.18,75.7,,
29.1,55.7,0.49,91.4,7.74,183.0
28.2,59.9,4.79,197.3,23.34,581.0
26.6,61.4,10.61,146.2,30.28,
20.8,,6.35,108.9,69.98,205.0
33.8,39.6,1.4,79.2,3.29,191.0
30.9,58.3,9.98,55.0,2.09,6344.0
27.5,82.7,7.73,95.1,3.41,280.0
31.1,78.1,7.12,117.3,,287.0
26.8,73.7,,73.6,,3800.0
30.0,67.3,3.91,43.8,,984.0
28.9,,9.69,127.7,68.94,859.0
27.9,66.0,5.11,86.6,2.2,163.0
29.0,58.4,6.22,84.5,5.23,265.0
,61.4,2.12,57.0,3.93,25881.0
,74.2,5.42,113.1,7.01,1243.0
30.8,69.4,17.02,50.1,2.65,194.0
33.0,55.3,5.65,106.7,1.09,622.0
24.3,50.7,16.45,79.2,3.24,2026.0
26.4,75.7,6.12,75.0,10.75,185.0
24.6,59.8,12.24,480.9,39.21,497.0
34.2,70.1,1.81,63.8,14.23,1172.0
29.0,,2.05,236.0,65.52,1632.0
26.3,47.0,3.4,32.9,1.28,1614.0
23.9,59.3,,181.0,12.24,16766.0
33.7,48.3,2.38,125.6,2.57,142.0
33.8,67.8,11.59,88.4,2.08,389.0
23.2,58.5,7.53,174.4,10.2,384.0
28.7,,,65.6,59.89,396.0
30.5,66.8,4.45,183.7,2.64,466.0
26.1,56.4,0.69,87.4,10.85,914.0
39.1,62.4,3.91,104.0,28.55,266.0
29.7,69.9,1.2,74.1,1.94,391.0
26.1,69.5,5.96,186.7,2.37,393.0
,67.5,,40.6,1.75,171.0
30.6,64.8,1.57,90.8,1.36,542.0
34.9,50.4,3.59,187.0,33.08,498.0
31.1,63.7,,19.2,1.39,3945.0
26.3,66.0,10.4,187.3,7.1,895.0
28.0,60.2,9.02,110.1,6.07,1314.0
29.2,62.4,3.74,23.8,109.21,219.0
29.2,63.0,15.64,68.7,2.2,1675.0
26.8,71.7,,165.6,,138.0
26.7,,9.57,63.9,53.02,729.0
29.5,64.9,7.33,57.7,43.94,827.0
,61.3,,170.8,8.34,227.0
34.3,88.2,9.88,63.6,,191.0
35.8,57.1,7.44,117.1,,1170.0
25.3,80.5,3.02,63.5,,607.0
22.2,73.6,4.76,80.6,3.36,138.0
27.0,59.7,10.6,118.5,1.43,666.0
18.9,60.5,,74.9,1.22,218.0
31.8,57.7,8.47,102.6,3.21,1447.0
28.4,,10.88,25.5,15.5,
,59.0,2.45,86.1,,
,74.0,1.4,35.4,1.37,1961.0
,74.2,3.75,53.0,2.81,809.0
23.9,68.5,6.2,221.9,,267588.0
28.4,83.0,3.99,135.9,1.53,1236.0
29.7,44.3,,69.1,4.86,271.0
15.3,,4.27,29.9,10.53,750.0
26.4,68.1,,131.6,24.02,566.0
,,0.96,144.5,8.61,1047.0
29.1,,9.92,27.2,9.21,205.0
22.0,72.9,,182.7,4.83,2281.0
26.9,77.0,4.07,293.5,4.66,6301.0
29.9,72.4,7.69,222.7,8.77,128.0
28.2,,4.42,90.0,1.6,385.0
,63.1,,96.0,3.98,228.0
37.1,52.5,,72.3,3.19,6439.0
28.0,60.7,4.31,162.4,43.86,331.0
28.4,65.1,10.8,60.7,23.09,152.0
33.0,66.0,5.01,112.6,1.27,507.0
27.9,54.6,,171.7,7.56,568.0
,73.5,12.51,104.1,1.46,567.0
28.2,87.7,,,13.05,390.0
27.2,53.9,6.65,33.2,17.44,487.0
33.1,74.8,15.08,166.9,8.3,189.0
20.4,57.1,5.88,125.0,8.02,187.0
26.9,48.6,1.1,,3.95,1355.0
33.0,72.5,,250.1,12.6,2381.0
28.2,72.6,8.13,68.4,3.11,886.0
26.2,63.8,3.96,145.2,15.29,361.0
27.5,,12.06,88.2,1.03,281.0
23.2,75.1,9.95,,,1592.0
29.2,69.0,9.87,75.5,2.34,215.0
22.4,60.7,1.63,225.6,14.2,155.0
23.3,57.8,9.86,140.6,1.02,329.0
27.3,81.1,2.3,156.7,1.1,304.0
27.9,68.6,4.67,106.6,2.94,748.0
27.1,61.8,1.25,126.4,2.41,
26.3,55.5,13.72,51.4,5.96,4873.0
28.3,83.1,14.19,104.0,3.6,957.0
28.8,74.9,0.66,51.0,,150.0
30.4,64.9,1.96,49.5,8.27,355.0
30.0,76.3,12.05,45.8,1.85,687.0
29.6,,5.3,179.9,1.44,263.0
24.1,47.2,4.01,121.8,2.51,164.0
27.7,76.1,8.09,193.3,1.44,389.0
32.4,46.2,3.55,,6.8,841.0
24.1,47.3,0.96,76.2,7.29,454.0
,52.1,5.65,228.5,3.31,4171.0
,72.7,3.99,163.9,1.14,1120.0
33.4,48.7,10.25,95.5,9.8,397.0
30.8,,9.11,190.6,3.99,1726.0
30.4,48.7,9.62,,,535.0
20.0,53.3,2.9,151.2,35.17,308.0
29.6,79.5,4.85,140.3,7.77,1069.0
22.7,67.8,2.64,117.6,5.96,174.0
34.1,38.0,,149.0,1.7,404.0
26.1,65.3,,76.6,2.15,348.0
33.5,63.1,,181.9,3.25,911.0
30.3,80.5,5.44,88.9,6.64,138.0
