study_hours,exam_score
7.0,49.1
5.2,33.9
10.1,78.6
7.6,64.4
3.6,31.6
3.7,52.9
6.2,50.4
5.4,33.6
5.0,48.4
5.9,52.5
8.8,60.7
6.4,56.4
5.8,53.1
4.1,13.9
7.8,83.4
4.2,37.0
7.0,58.6
6.2,35.6
4.9,42.9
4.3,36.0
4.5,21.0
4.7,62.7
8.0,75.8
4.6,23.8
7.3,55.3
5.8,40.8
5.2,46.4
6.3,53.8
2.7,20.2
7.3,37.8
4.8,58.6
7.5,58.9
8.4,58.8
4.6,29.3
8.8,72.5
5.8,63.1
4.1,21.1
7.6,68.0
6.6,47.8
4.6,41.0
6.5,77.6
9.0,81.7
4.3,29.4
6.7,57.2
5.9,59.6
6.3,62.1
6.5,40.7
4.1,29.7
7.0,55.6
4.7,24.3
7.7,64.3
5.7,31.9
6.4,44.0
6.1,28.3
7.2,60.7
5.3,45.3
5.7,34.5
7.2,46.7
4.9,45.9
7.4,54.5
6.8,76.5
5.7,47.7
4.4,29.0
5.4,35.3
5.2,33.1
5.4,45.8
4.9,51.7
6.4,46.3
6.8,44.8
4.2,42.9
7.3,56.1
4.2,49.4
3.8,30.8
4.8,40.7
7.0,53.0
4.0,21.0
6.9,39.4
4.2,21.9
6.3,74.5
3.3,28.2
7.2,53.3
6.7,51.9
8.1,59.0
4.7,41.9
8.1,70.7
2.8,26.3
6.6,39.4
10.7,64.2
8.4,83.3
4.8,36.5
8.2,32.4
5.8,31.9
4.3,38.5
5.3,19.9
7.0,60.2
7.0,58.2
6.4,75.4
5.9,55.4
7.9,58.4
5.0,49.2
6.5,56.7
8.0,60.9
9.0,69.0
6.9,40.2
6.1,41.6
4.9,37.6
4.9,45.2
5.5,38.7
5.7,41.6
6.5,50.4
7.3,84.4
6.7,59.8
6.5,41.5
5.4,42.9
5.9,62.4
5.8,69.3
2.7,25.8
6.5,56.2
4.1,25.2
6.2,45.0
7.1,47.2
4.9,15.9
7.8,68.0
2.7,27.0
4.8,42.9
5.5,56.0
5.4,63.8
3.9,17.0
5.6,48.3
5.0,45.3
5.7,43.4
5.8,46.7
8.0,77.1
2.9,36.1
5.8,60.8
6.7,55.8
4.7,52.3
3.9,25.0
4.6,24.9
7.3,47.7
6.5,38.9
5.8,57.0
6.8,58.4
7.0,70.7
5.3,32.1
5.4,33.4
5.2,30.6
5.3,44.3
8.8,55.7
7.2,60.8
12.0,94.0
2.5,88.0
9.0,18.0
